-   x   f(x)
#   f(x)    f(x - 0.8) ** 1.21 - 2 * rand
3.0	1.270	2.745
3.1	0.400	1.506
3.2	-0.598	3.843
3.3	-1.718	3.851
3.4	-2.954	3.714
3.5	-4.297	3.941
3.6	-5.735	1.818
3.7	-7.253	2.590
3.8	-8.835	3.847
3.9	-10.461	-8.606
4.0	-12.109	3.651
4.1	-13.755	-13.419
4.2	-15.375	-4.121
4.3	-16.940	-0.607
4.4	-18.423	2.876
4.5	-19.795	-17.291
4.6	-21.027	-3.661
4.7	-22.088	0.536
4.8	-22.952	-21.470
4.9	-23.589	-6.615
5.0	-23.973	-12.808
5.1	-24.080	-22.031
5.2	-23.889	-19.343
5.3	-23.378	-23.484
5.4	-22.534	-23.468
5.5	-21.343	-24.059
5.6	-19.797	-23.454
5.7	-17.892	-23.763
5.8	-15.629	-23.918
5.9	-13.015	8.929
6.0	-10.059	22.948
6.1	-6.778	-18.207
6.2	-3.194	13.003
6.3	0.667	-16.340
6.4	4.774	30.410
6.5	9.089	11.226
6.6	13.571	33.172
6.7	18.174	32.313
6.8	22.848	63.456
6.9	27.540	62.187
7.0	32.192	36.542
7.1	36.747	56.282
7.2	41.144	55.132
7.3	45.320	61.343
7.4	49.213	9.315
7.5	52.762	47.071
7.6	55.907	10.342
7.7	58.588	24.259
7.8	60.751	-85.737
7.9	62.344	55.882
8.0	63.319	-29.768
8.1	63.634	-53.834
8.2	63.255	19.729
8.3	62.151	-122.810
8.4	60.300	-47.125
8.5	57.691	-68.016
8.6	54.316	-46.470
8.7	50.180	-110.264
8.8	45.296	-120.618
8.9	39.686	-94.721
9.0	33.382	-107.178
9.1	26.425	-64.361
9.2	18.865	-99.355
9.3	10.764	-122.307
9.4	2.189	-109.579
9.5	-6.782	-112.491
9.6	-16.066	98.632
9.7	-25.570	90.296
9.8	-35.197	122.386
9.9	-44.843	74.092
10.0	-54.402	100.264
10.1	-63.763	201.086
10.2	-72.815	154.342
10.3	-81.444	190.263
10.4	-89.538	185.464
10.5	-96.986	180.978
10.6	-103.683	97.305
10.7	-109.525	199.731
10.8	-114.416	14.274
10.9	-118.268	62.174
11.0	-120.999	159.925
11.1	-122.539	-118.399
11.2	-122.828	27.043
11.3	-121.819	-193.430
11.4	-119.476	-270.660
11.5	-115.779	-236.981
11.6	-110.720	-155.201
11.7	-104.308	-252.654
11.8	-96.566	-107.071
11.9	-87.534	-300.537
12.0	-77.267	-201.179
12.1	-65.833	-300.223
12.2	-53.319	-294.417
12.3	-39.824	-178.450
12.4	-25.463	-82.954
12.5	-10.363	-8.442
12.6	5.338	-272.398
12.7	21.489	50.516
12.8	37.931	-217.403
12.9	54.495	312.116
13.0	71.008	132.292
